H hydrogen
HE helium
LI lithium
BE beryllium
B boron
C carbon
N nitrogen
O oxygen
F fluorine
NE neon
NA sodium
MG magnesium
AL aluminum
SI silicon
P phosphorus
S sulfer
CL chlorine
AR argon
K potassium
CA calcium
SC scandium
TI titanium
V vanadium
CR chromium
MN manganese
FE iron
CO cobalt
NI nickel
CU copper
ZN zinc
GA gallium
GE germanium
AS arsenic
SE selenium
BR bromine
KR krypton
RB rubidium
SR strontium
Y yttrium
ZR zirconium
NB niobium
MO molybdenum
TC technetium
RU ruthenium
RH rhodium
PD palladium
AG silver
CD cadmium
IN indium
SN tin
SB antimony
TE tellurium
I iodine
XE xenon
CS cesium
BA barium
LA lanthanum
CE cerium
PR praseodymium
ND neodymium
PM promethium
SM samarium
EU europium
GD gadolinium
TB terbium
DY dysprosium
HO holmium
ER erbium
TM thulium
YB ytterbium
LU lutetium
HF hafnium
TA tantalum
W tungsten
RE rhenium
OS osmium
IR iridium
PT platinum
AU gold
HG mercury
TL thallium
PB lead
BI bismuth
PO pollonium
AT astatine
RN radon
FR francium
RA radium
AC actinium
Th thorium
PA protactinium
U uranium
NP neptunium
PU plutonium
AM americium
CM curium
BK berkelium
CF californium
ES einsteinium
FM fermium
